bundle,prefix,animation,sprite,palette,palette_status,sprite_width,sprite_height,trim_width,trim_height,bbox_left,bbox_top,bbox_right,bbox_bottom,path
battle_unit1,banditCrossbowM2,attack,banditCrossbowM2_attack_5,banditCrossbowM2_palette,applied,26,45,24,43,1,1,25,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_attack_5.png
battle_unit1,banditCrossbowM2,idle,banditCrossbowM2_idle_3,banditCrossbowM2_palette,applied,28,46,26,44,1,1,27,45,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_idle_3.png
battle_unit1,banditCrossbowM2,attack,banditCrossbowM2_attack_0,banditCrossbowM2_palette,applied,28,45,26,43,1,1,27,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_attack_0.png
battle_unit1,banditGuardianM,move,banditGuardianM_move_6,banditGuardianM_palette,applied,22,46,20,44,1,1,21,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_move_6.png
battle_unit1,banditGuardianM,jumpUp,banditGuardianM_jumpUp_1,banditGuardianM_palette,applied,33,51,31,49,1,1,32,50,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_jumpUp_1.png
battle_unit1,banditCrossbowM2,throw,banditCrossbowM2_throw_3,banditCrossbowM2_palette,applied,33,41,31,39,1,1,32,40,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_throw_3.png
battle_unit1,banditGuardianM,sprint,banditGuardianM_sprint_4,banditGuardianM_palette,applied,31,49,29,47,1,1,30,48,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_sprint_4.png
battle_unit1,banditCrossbowM2,injured2,banditCrossbowM2_injured2_0,banditCrossbowM2_palette,applied,30,45,28,43,1,1,29,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_injured2_0.png
battle_unit1,banditCrossbowM2,idle,banditCrossbowM2_idle_7,banditCrossbowM2_palette,applied,26,46,24,44,1,1,25,45,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_idle_7.png
battle_unit1,banditCrossbowM2,injuredall,banditCrossbowM2_injuredall_4,banditCrossbowM2_palette,applied,30,45,28,43,1,1,29,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_injuredall_4.png
battle_unit1,banditGuardianM,sprint,banditGuardianM_sprint_5,banditGuardianM_palette,applied,29,49,27,47,1,1,28,48,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_sprint_5.png
battle_unit1,banditGuardianM,move,banditGuardianM_move_2,banditGuardianM_palette,applied,26,48,24,46,1,1,25,47,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_move_2.png
battle_unit1,blackcat,scare,blackcat_scare_1,blackcat_palette,applied,20,23,18,21,1,1,19,22,Sprites/Pixel/battle_unit1/blackcat/blackcat_scare_1.png
battle_unit1,banditGuardianM,attack2,banditGuardianM_attack2_6,banditGuardianM_palette,applied,29,42,27,40,1,1,28,41,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attack2_6.png
battle_unit1,banditGuardianM,crouch,banditGuardianM_crouch_1,banditGuardianM_palette,applied,31,43,29,41,1,1,30,42,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_crouch_1.png
battle_unit1,blackcat,wait,blackcat_wait_0,blackcat_palette,applied,19,20,17,18,1,1,18,19,Sprites/Pixel/battle_unit1/blackcat/blackcat_wait_0.png
battle_unit1,banditGuardianM,walk,banditGuardianM_walk_7,banditGuardianM_palette,applied,27,47,25,45,1,1,26,46,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_walk_7.png
battle_unit1,banditGuardianM,throw,banditGuardianM_throw_3,banditGuardianM_palette,applied,29,47,27,45,1,1,28,46,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_throw_3.png
battle_unit1,banditGuardianM,attack,banditGuardianM_attack_2,banditGuardianM_palette,applied,29,46,27,44,1,1,28,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attack_2.png
battle_unit1,banditGuardianM,throw,banditGuardianM_throw_2,banditGuardianM_palette,applied,29,46,27,44,1,1,28,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_throw_2.png
battle_unit1,animalsWolfset01,walk,animalsWolfset01_walk_2,animalsWolfset01_palette,applied,61,42,59,40,1,1,60,41,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_walk_2.png
battle_unit1,banditCrossbowM2,move,banditCrossbowM2_move_4,banditCrossbowM2_palette,applied,24,49,22,47,1,1,23,48,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_move_4.png
battle_unit1,banditCrossbowM2,crouch,banditCrossbowM2_crouch_0,banditCrossbowM2_palette,applied,25,40,23,38,1,1,24,39,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_crouch_0.png
battle_unit1,animalsWolfset01,attack,animalsWolfset01_attack_0,animalsWolfset01_palette,applied,49,41,47,39,1,1,48,40,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_attack_0.png
battle_unit1,banditGuardianM,injuredall,banditGuardianM_injuredall_15,banditGuardianM_palette,applied,43,28,41,26,1,1,42,27,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_injuredall_15.png
battle_unit1,banditCrossbowM2,reload,banditCrossbowM2_reload_9,banditCrossbowM2_palette,applied,30,45,28,43,1,1,29,44,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_reload_9.png
battle_unit1,banditGuardianM,cast,banditGuardianM_cast_0,banditGuardianM_palette,applied,24,42,22,40,1,1,23,41,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_cast_0.png
battle_unit1,banditCrossbowM2,charge,banditCrossbowM2_charge_3,banditCrossbowM2_palette,applied,28,44,26,42,1,1,27,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_charge_3.png
battle_unit1,banditGuardianM,charge,banditGuardianM_charge_5,banditGuardianM_palette,applied,29,47,27,45,1,1,28,46,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_charge_5.png
battle_unit1,banditCrossbowM2,pull,banditCrossbowM2_pull_3,banditCrossbowM2_palette,applied,34,52,32,50,1,1,33,51,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_pull_3.png
battle_unit1,banditGuardianM,injuredall,banditGuardianM_injuredall_12,banditGuardianM_palette,applied,28,43,26,41,1,1,27,42,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_injuredall_12.png
battle_unit1,banditGuardianM,attack2,banditGuardianM_attack2_3,banditGuardianM_palette,applied,31,39,29,37,1,1,30,38,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attack2_3.png
battle_unit1,banditGuardianM,attack,banditGuardianM_attack_3,banditGuardianM_palette,applied,30,46,28,44,1,1,29,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_attack_3.png
battle_unit1,animalsWolfset01,attack,animalsWolfset01_attack_4,animalsWolfset01_palette,applied,62,40,60,38,1,1,61,39,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_attack_4.png
battle_unit1,banditGuardianM,walk,banditGuardianM_walk_6,banditGuardianM_palette,applied,27,46,25,44,1,1,26,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_walk_6.png
battle_unit1,animalsWolfset01,walk,animalsWolfset01_walk_0,animalsWolfset01_palette,applied,40,51,38,49,1,1,39,50,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_walk_0.png
battle_unit1,animalsWolfset01,walk,animalsWolfset01_walk_5,animalsWolfset01_palette,applied,56,35,54,33,1,1,55,34,Sprites/Pixel/battle_unit1/animalsWolfset01/animalsWolfset01_walk_5.png
battle_unit1,banditCrossbowM2,attack,banditCrossbowM2_attack_1,banditCrossbowM2_palette,applied,28,44,26,42,1,1,27,43,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_attack_1.png
battle_unit1,banditGuardianM,throw,banditGuardianM_throw_1,banditGuardianM_palette,applied,32,46,30,44,1,1,31,45,Sprites/Pixel/battle_unit1/banditGuardianM/banditGuardianM_throw_1.png
battle_unit1,banditCrossbowM2,injuredall,banditCrossbowM2_injuredall_0,banditCrossbowM2_palette,applied,34,46,32,44,1,1,33,45,Sprites/Pixel/battle_unit1/banditCrossbowM2/banditCrossbowM2_injuredall_0.png
battle_unit1,blackcat,wait,blackcat_wait_3,blackcat_palette,applied,19,20,17,18,1,1,18,19,Sprites/Pixel/battle_unit1/blackcat/blackcat_wait_3.png
