group,bundle,texture,width,height,trim_width,trim_height,path
character,icon_character1,character_tbosscupsmset01,128,128,102,114,Sprites/Pixel/character/icon_character1/character_tbosscupsmset01.png
character,icon_character1,character_hirialadymunaf3set01,128,128,60,95,Sprites/Pixel/character/icon_character1/character_hirialadymunaf3set01.png
character,icon_character1,character_monsterraccoonmset05,128,128,79,54,Sprites/Pixel/character/icon_character1/character_monsterraccoonmset05.png
character,icon_character1,character_vilderarcherfset01,128,128,68,102,Sprites/Pixel/character/icon_character1/character_vilderarcherfset01.png
character,icon_character1,character_mercenaryassassinmset01,128,128,68,92,Sprites/Pixel/character/icon_character1/character_mercenaryassassinmset01.png
character,icon_character1,character_tkrabbit01set02,128,128,26,38,Sprites/Pixel/character/icon_character1/character_tkrabbit01set02.png
character,icon_character1,character_ycsocflag,128,128,75,128,Sprites/Pixel/character/icon_character1/character_ycsocflag.png
character,icon_character1,character_solomondarkwizzardfset01,128,128,52,96,Sprites/Pixel/character/icon_character1/character_solomondarkwizzardfset01.png
character,icon_character1,character_lionknightscrossbowmset01,128,128,72,106,Sprites/Pixel/character/icon_character1/character_lionknightscrossbowmset01.png
character,icon_character1,character_npc16,128,128,45,98,Sprites/Pixel/character/icon_character1/character_npc16.png
character,icon_character1,character_tkbird03,128,128,34,30,Sprites/Pixel/character/icon_character1/character_tkbird03.png
character,icon_character1,character_tkbird02,128,128,28,40,Sprites/Pixel/character/icon_character1/character_tkbird02.png
character,icon_character1,character_darklightfirewizzardmset01,128,128,64,94,Sprites/Pixel/character/icon_character1/character_darklightfirewizzardmset01.png
character,icon_character1,character_tbosschariotm3set01,128,128,106,102,Sprites/Pixel/character/icon_character1/character_tbosschariotm3set01.png
character,icon_character1,character_npc25,128,128,52,96,Sprites/Pixel/character/icon_character1/character_npc25.png
character,icon_character1,character_npc85,128,128,52,102,Sprites/Pixel/character/icon_character1/character_npc85.png
character,icon_character1,character_npc11,128,128,42,99,Sprites/Pixel/character/icon_character1/character_npc11.png
character,icon_character1,character_darklightberserkerm01,128,128,84,88,Sprites/Pixel/character/icon_character1/character_darklightberserkerm01.png
character,icon_character1,character_trap,128,128,60,82,Sprites/Pixel/character/icon_character1/character_trap.png
character,icon_character1,character_zzztest01,192,192,165,160,Sprites/Pixel/character/icon_character1/character_zzztest01.png
character,icon_character1,character_monsterraccoonmset02,128,128,79,54,Sprites/Pixel/character/icon_character1/character_monsterraccoonmset02.png
character,icon_character1,character_piratearcherfset01,128,128,78,85,Sprites/Pixel/character/icon_character1/character_piratearcherfset01.png
character,icon_character1,character_hdarklightfernandomset01,128,128,78,82,Sprites/Pixel/character/icon_character1/character_hdarklightfernandomset01.png
character,icon_character1,character_npc36,128,128,52,82,Sprites/Pixel/character/icon_character1/character_npc36.png
character,icon_character1,character_npc55,128,128,42,94,Sprites/Pixel/character/icon_character1/character_npc55.png
character,icon_character1,character_knightslongswordfset01,128,128,66,100,Sprites/Pixel/character/icon_character1/character_knightslongswordfset01.png
character,icon_character1,character_hplayermercenarygirlf4set01,128,128,51,102,Sprites/Pixel/character/icon_character1/character_hplayermercenarygirlf4set01.png
character,icon_character1,character_npc59,128,128,48,87,Sprites/Pixel/character/icon_character1/character_npc59.png
character,icon_character1,character_monsterflowerm3set01,128,128,63,90,Sprites/Pixel/character/icon_character1/character_monsterflowerm3set01.png
character,icon_character1,character_banditcrossbowmset01,128,128,58,87,Sprites/Pixel/character/icon_character1/character_banditcrossbowmset01.png
character,icon_character1,character_hirialadymunaf2set01,128,128,60,95,Sprites/Pixel/character/icon_character1/character_hirialadymunaf2set01.png
character,icon_character1,character_hcrimsonlavierfset01,128,128,62,106,Sprites/Pixel/character/icon_character1/character_hcrimsonlavierfset01.png
character,icon_character1,character_uwmonstercmset01,128,128,64,80,Sprites/Pixel/character/icon_character1/character_uwmonstercmset01.png
character,icon_character1,character_terroristbombermset01,128,128,60,80,Sprites/Pixel/character/icon_character1/character_terroristbombermset01.png
character,icon_character1,character_tkfox01,128,128,36,56,Sprites/Pixel/character/icon_character1/character_tkfox01.png
character,icon_character1,character_hpapalwitchunterfset01,128,128,60,92,Sprites/Pixel/character/icon_character1/character_hpapalwitchunterfset01.png
character,icon_character1,character_npc64,128,128,54,100,Sprites/Pixel/character/icon_character1/character_npc64.png
character,icon_character1,character_tbossjusticefset01,320,320,301,223,Sprites/Pixel/character/icon_character1/character_tbossjusticefset01.png
character,icon_character1,character_cat,128,128,34,38,Sprites/Pixel/character/icon_character1/character_cat.png
character,icon_character1,character_hcheckboardmset01,128,128,36,90,Sprites/Pixel/character/icon_character1/character_hcheckboardmset01.png
character,icon_character1,character_uwhtfset01,128,128,42,92,Sprites/Pixel/character/icon_character1/character_uwhtfset01.png
character,icon_character1,character_knightslancerm2set01,128,128,88,122,Sprites/Pixel/character/icon_character1/character_knightslancerm2set01.png
character,icon_character1,character_monsterbearmset01,128,128,112,94,Sprites/Pixel/character/icon_character1/character_monsterbearmset01.png
character,icon_character1,character_monsterslimem2set01,128,128,73,52,Sprites/Pixel/character/icon_character1/character_monsterslimem2set01.png
character,icon_character1,character_monsterboarmset04,128,128,85,78,Sprites/Pixel/character/icon_character1/character_monsterboarmset04.png
character,icon_character1,character_monsterslimem2set03,128,128,73,52,Sprites/Pixel/character/icon_character1/character_monsterslimem2set03.png
character,icon_character1,character_policepriestfset01,128,128,68,96,Sprites/Pixel/character/icon_character1/character_policepriestfset01.png
character,icon_character1,character_ycrobot01,128,128,92,118,Sprites/Pixel/character/icon_character1/character_ycrobot01.png
character,icon_character1,character_ycbooks01,128,128,48,50,Sprites/Pixel/character/icon_character1/character_ycbooks01.png
character,icon_character1,character_tkrabbit01,128,128,26,38,Sprites/Pixel/character/icon_character1/character_tkrabbit01.png
character,icon_character1,character_hluciasilverwolffset02,128,128,72,112,Sprites/Pixel/character/icon_character1/character_hluciasilverwolffset02.png
character,icon_character1,character_npc74,128,128,42,102,Sprites/Pixel/character/icon_character1/character_npc74.png
character,icon_character1,character_crimsonassassinm4set03,128,128,66,84,Sprites/Pixel/character/icon_character1/character_crimsonassassinm4set03.png
character,icon_character1,character_zcannon,128,128,88,74,Sprites/Pixel/character/icon_character1/character_zcannon.png
character,icon_character1,character_npc42,128,128,42,80,Sprites/Pixel/character/icon_character1/character_npc42.png
character,icon_character1,character_monsterscorpionmset02,128,128,84,84,Sprites/Pixel/character/icon_character1/character_monsterscorpionmset02.png
character,icon_character1,character_npc48,128,128,54,86,Sprites/Pixel/character/icon_character1/character_npc48.png
character,icon_character1,character_tbossstrengthmset03,192,192,138,130,Sprites/Pixel/character/icon_character1/character_tbossstrengthmset03.png
character,icon_character1,character_hplayermercenarygirlf3set02,128,128,108,118,Sprites/Pixel/character/icon_character1/character_hplayermercenarygirlf3set02.png
character,icon_character1,character_knightsguardianmset09,128,128,111,121,Sprites/Pixel/character/icon_character1/character_knightsguardianmset09.png
character,icon_character1,character_banditguardianmset01,128,128,62,92,Sprites/Pixel/character/icon_character1/character_banditguardianmset01.png
character,icon_character1,character_ycicebox,128,128,80,112,Sprites/Pixel/character/icon_character1/character_ycicebox.png
character,icon_character1,character_hluciasilverwolffset01,128,128,54,99,Sprites/Pixel/character/icon_character1/character_hluciasilverwolffset01.png
character,icon_character1,character_hcrimsonmafialeaderfset01,128,128,48,98,Sprites/Pixel/character/icon_character1/character_hcrimsonmafialeaderfset01.png
character,icon_character1,character_tarotsummonermset02,128,128,75,90,Sprites/Pixel/character/icon_character1/character_tarotsummonermset02.png
character,icon_character1,character_monsterraccoonmset06,128,128,79,54,Sprites/Pixel/character/icon_character1/character_monsterraccoonmset06.png
character,icon_character1,character_knightsguardianm3set01,128,128,93,102,Sprites/Pixel/character/icon_character1/character_knightsguardianm3set01.png
character,icon_character1,character_brambleknightslongswordfset01,128,128,62,102,Sprites/Pixel/character/icon_character1/character_brambleknightslongswordfset01.png
character,icon_character1,character_sblueparrot,128,128,36,70,Sprites/Pixel/character/icon_character1/character_sblueparrot.png
character,icon_character1,character_hcrimsondetectivefset01,128,128,60,94,Sprites/Pixel/character/icon_character1/character_hcrimsondetectivefset01.png
character,icon_character1,character_monsterhermitcrabm3set01,128,128,76,88,Sprites/Pixel/character/icon_character1/character_monsterhermitcrabm3set01.png
character,icon_character1,character_hknightspaladinfset01,128,128,69,99,Sprites/Pixel/character/icon_character1/character_hknightspaladinfset01.png
character,icon_character1,character_monsterslimemset04,128,128,91,84,Sprites/Pixel/character/icon_character1/character_monsterslimemset04.png
character,icon_character1,character_monsterfrogmset06,128,128,50,44,Sprites/Pixel/character/icon_character1/character_monsterfrogmset06.png
character,icon_character1,character_monsterflowerm2set01,128,128,58,88,Sprites/Pixel/character/icon_character1/character_monsterflowerm2set01.png
character,icon_character1,character_zqueenpillar,128,128,66,78,Sprites/Pixel/character/icon_character1/character_zqueenpillar.png
character,icon_character1,character_monsterfrogmset05,128,128,50,44,Sprites/Pixel/character/icon_character1/character_monsterfrogmset05.png
character,icon_character1,character_uwhyf2set01,128,128,40,96,Sprites/Pixel/character/icon_character1/character_uwhyf2set01.png
character,icon_character1,character_hirialadymunafset07,128,128,50,90,Sprites/Pixel/character/icon_character1/character_hirialadymunafset07.png
character,icon_character1,character_yserindeknightscrossbowmset01,128,128,72,106,Sprites/Pixel/character/icon_character1/character_yserindeknightscrossbowmset01.png
character,icon_character1,character_sgreenparrot,128,128,36,70,Sprites/Pixel/character/icon_character1/character_sgreenparrot.png
character,icon_character1,character_hpapalprincemset01,128,128,58,90,Sprites/Pixel/character/icon_character1/character_hpapalprincemset01.png
character,icon_character1,character_solomonmechamset01,128,128,108,110,Sprites/Pixel/character/icon_character1/character_solomonmechamset01.png
character,icon_character1,character_hiriasprincemset01,128,128,68,98,Sprites/Pixel/character/icon_character1/character_hiriasprincemset01.png
character,icon_character1,character_npc75,128,128,42,96,Sprites/Pixel/character/icon_character1/character_npc75.png
character,icon_character1,character_pirateguardianmset01,128,128,98,93,Sprites/Pixel/character/icon_character1/character_pirateguardianmset01.png
character,icon_character1,character_monsterwolfset05,128,128,96,72,Sprites/Pixel/character/icon_character1/character_monsterwolfset05.png
character,icon_character1,character_hsolomonkinghashamset01,128,128,82,104,Sprites/Pixel/character/icon_character1/character_hsolomonkinghashamset01.png
character,icon_character1,character_monstercarnivorousmset01,128,128,122,100,Sprites/Pixel/character/icon_character1/character_monstercarnivorousmset01.png
character,icon_character1,character_monsternightmarem2set01,128,128,106,76,Sprites/Pixel/character/icon_character1/character_monsternightmarem2set01.png
character,icon_character1,character_monsterslimem2set02,128,128,73,52,Sprites/Pixel/character/icon_character1/character_monsterslimem2set02.png
character,icon_character1,character_vilderdancerfset01,128,128,68,98,Sprites/Pixel/character/icon_character1/character_vilderdancerfset01.png
character,icon_character1,character_militaryberserkermset01,128,128,84,88,Sprites/Pixel/character/icon_character1/character_militaryberserkermset01.png
character,icon_character1,character_hpapalcommandermset01,128,128,80,118,Sprites/Pixel/character/icon_character1/character_hpapalcommandermset01.png
character,icon_character1,character_monsterwolfset06,128,128,96,72,Sprites/Pixel/character/icon_character1/character_monsterwolfset06.png
character,icon_character1,character_hknightspaladinfset02,128,128,82,128,Sprites/Pixel/character/icon_character1/character_hknightspaladinfset02.png
character,icon_character1,character_zpvpboomer,140,140,66,126,Sprites/Pixel/character/icon_character1/character_zpvpboomer.png
character,icon_character1,character_scorchguardianmset01,128,128,94,112,Sprites/Pixel/character/icon_character1/character_scorchguardianmset01.png
character,icon_character1,character_solomonblademset02,128,128,88,106,Sprites/Pixel/character/icon_character1/character_solomonblademset02.png
character,icon_character1,character_knightspriestfset01,128,128,88,98,Sprites/Pixel/character/icon_character1/character_knightspriestfset01.png
character,icon_character1,character_knightscrossbowmset01,128,128,72,106,Sprites/Pixel/character/icon_character1/character_knightscrossbowmset01.png
character,icon_character1,character_hplayersisterlavierfset01,128,128,100,100,Sprites/Pixel/character/icon_character1/character_hplayersisterlavierfset01.png
character,icon_character1,character_npc40,128,128,50,92,Sprites/Pixel/character/icon_character1/character_npc40.png
character,icon_character1,character_monsterscorpionmset01,128,128,84,84,Sprites/Pixel/character/icon_character1/character_monsterscorpionmset01.png
character,icon_character1,character_tbosschariotm2set01,144,144,127,122,Sprites/Pixel/character/icon_character1/character_tbosschariotm2set01.png
character,icon_character1,character_uwhyfset01,128,128,38,96,Sprites/Pixel/character/icon_character1/character_uwhyfset01.png
character,icon_character1,character_lionknightslancerm2set01,128,128,88,122,Sprites/Pixel/character/icon_character1/character_lionknightslancerm2set01.png
character,icon_character1,character_monsterboarmset03,128,128,85,78,Sprites/Pixel/character/icon_character1/character_monsterboarmset03.png
character,icon_character1,character_darklightbombermset01,128,128,60,80,Sprites/Pixel/character/icon_character1/character_darklightbombermset01.png
character,icon_character1,character_npc51,128,128,51,90,Sprites/Pixel/character/icon_character1/character_npc51.png
character,icon_character1,character_npc15,128,128,42,98,Sprites/Pixel/character/icon_character1/character_npc15.png
character,icon_character1,character_hiriacommandermset01,128,128,96,106,Sprites/Pixel/character/icon_character1/character_hiriacommandermset01.png
character,icon_character1,character_luciaguardianmset02,128,128,98,93,Sprites/Pixel/character/icon_character1/character_luciaguardianmset02.png
character,icon_character1,character_npc63,128,128,46,82,Sprites/Pixel/character/icon_character1/character_npc63.png
character,icon_character1,character_solomonberserkermset01,128,128,88,80,Sprites/Pixel/character/icon_character1/character_solomonberserkermset01.png
character,icon_character1,character_monsterscorpionmset04,128,128,84,84,Sprites/Pixel/character/icon_character1/character_monsterscorpionmset04.png
character,icon_character1,character_hsolomonprincemset01,128,128,92,106,Sprites/Pixel/character/icon_character1/character_hsolomonprincemset01.png
character,icon_character1,character_darklightmajinmset01,128,128,72,84,Sprites/Pixel/character/icon_character1/character_darklightmajinmset01.png
character,icon_character1,character_monsternightmarem4set01,128,128,110,76,Sprites/Pixel/character/icon_character1/character_monsternightmarem4set01.png
character,icon_character1,character_hcrimsonsophiaf4set01,128,128,40,92,Sprites/Pixel/character/icon_character1/character_hcrimsonsophiaf4set01.png
character,icon_character1,character_iriapriestfset01,128,128,52,96,Sprites/Pixel/character/icon_character1/character_iriapriestfset01.png
character,icon_character1,character_hiriayoungcolonelmset01,128,128,94,97,Sprites/Pixel/character/icon_character1/character_hiriayoungcolonelmset01.png
character,icon_character1,character_secretcat,128,128,34,38,Sprites/Pixel/character/icon_character1/character_secretcat.png
character,icon_character1,character_uamonstermushroommset01,128,128,43,60,Sprites/Pixel/character/icon_character1/character_uamonstermushroommset01.png
character,icon_character1,character_brambleknightsguardianmset01,128,128,100,106,Sprites/Pixel/character/icon_character1/character_brambleknightsguardianmset01.png
character,icon_character1,character_zballista,160,160,114,99,Sprites/Pixel/character/icon_character1/character_zballista.png
character,icon_character1,character_hluciaaugurfdeerf2set01,128,128,66,110,Sprites/Pixel/character/icon_character1/character_hluciaaugurfdeerf2set01.png
character,icon_character1,character_monsterflowermset01,128,128,60,88,Sprites/Pixel/character/icon_character1/character_monsterflowermset01.png
character,icon_character1,character_knightspriestf2set01,128,128,90,95,Sprites/Pixel/character/icon_character1/character_knightspriestf2set01.png
character,icon_character1,character_hsolomonladypresidentf3set01,128,128,54,98,Sprites/Pixel/character/icon_character1/character_hsolomonladypresidentf3set01.png
character,icon_character1,character_hsolomonkinghashaf2set01,128,128,96,117,Sprites/Pixel/character/icon_character1/character_hsolomonkinghashaf2set01.png
character,icon_character1,character_hsolomonblindgirlfset01,128,128,56,104,Sprites/Pixel/character/icon_character1/character_hsolomonblindgirlfset01.png
character,icon_character1,character_npc70,112,112,112,112,Sprites/Pixel/character/icon_character1/character_npc70.png
character,icon_character1,character_knightscrossbowmset02,128,128,72,106,Sprites/Pixel/character/icon_character1/character_knightscrossbowmset02.png
character,icon_character1,character_tarotsummonermset01,128,128,75,90,Sprites/Pixel/character/icon_character1/character_tarotsummonermset01.png
character,icon_character1,character_npc05,128,128,42,96,Sprites/Pixel/character/icon_character1/character_npc05.png
character,icon_character1,character_banditguardianmset02,128,128,62,92,Sprites/Pixel/character/icon_character1/character_banditguardianmset02.png
character,icon_character1,character_banditarchermset01,128,128,73,86,Sprites/Pixel/character/icon_character1/character_banditarchermset01.png
character,icon_character1,character_iriaarcherfset01,128,128,68,98,Sprites/Pixel/character/icon_character1/character_iriaarcherfset01.png
character,icon_character1,character_npc90,128,128,45,90,Sprites/Pixel/character/icon_character1/character_npc90.png
character,icon_character1,character_hluciayoungcolonelmset01,128,128,75,96,Sprites/Pixel/character/icon_character1/character_hluciayoungcolonelmset01.png
character,icon_character1,character_hknightsicemagefset01,128,128,62,98,Sprites/Pixel/character/icon_character1/character_hknightsicemagefset01.png
character,icon_character1,character_knightslongswordf2set01,128,128,62,102,Sprites/Pixel/character/icon_character1/character_knightslongswordf2set01.png
character,icon_character1,character_hcrimsonsophiaf3set01,128,128,122,116,Sprites/Pixel/character/icon_character1/character_hcrimsonsophiaf3set01.png
character,icon_character1,character_tarotshooterm2set02,128,128,102,98,Sprites/Pixel/character/icon_character1/character_tarotshooterm2set02.png
character,icon_character1,character_piratecrossbowmset01,128,128,58,87,Sprites/Pixel/character/icon_character1/character_piratecrossbowmset01.png
character,icon_character1,character_hcrimsonlavierf2set01,128,128,48,108,Sprites/Pixel/character/icon_character1/character_hcrimsonlavierf2set01.png
character,icon_character1,character_tbosschariotm3set02,128,128,106,102,Sprites/Pixel/character/icon_character1/character_tbosschariotm3set02.png
character,icon_character1,character_monsternightmarem5set01,128,128,112,76,Sprites/Pixel/character/icon_character1/character_monsternightmarem5set01.png
character,icon_character1,character_hvilderdancerfset01,128,128,62,104,Sprites/Pixel/character/icon_character1/character_hvilderdancerfset01.png
character,icon_character1,character_npc80,128,128,51,88,Sprites/Pixel/character/icon_character1/character_npc80.png
character,icon_character1,character_npc69,112,112,112,112,Sprites/Pixel/character/icon_character1/character_npc69.png
character,icon_character1,character_hpapalsamanthafset02,128,128,46,99,Sprites/Pixel/character/icon_character1/character_hpapalsamanthafset02.png
character,icon_character1,character_darklightguardianmset01,128,128,94,93,Sprites/Pixel/character/icon_character1/character_darklightguardianmset01.png
character,icon_character1,character_policenightwalkermset01,128,128,90,86,Sprites/Pixel/character/icon_character1/character_policenightwalkermset01.png
character,icon_character1,character_yserindeknightsguardianmset01,128,128,100,106,Sprites/Pixel/character/icon_character1/character_yserindeknightsguardianmset01.png
character,icon_character1,character_npc78,128,128,52,90,Sprites/Pixel/character/icon_character1/character_npc78.png
character,icon_character1,character_hknightscaptainmset01,128,128,92,96,Sprites/Pixel/character/icon_character1/character_hknightscaptainmset01.png
character,icon_character1,character_tbossstarmset02,144,144,104,136,Sprites/Pixel/character/icon_character1/character_tbossstarmset02.png
character,icon_character1,character_monsterhermitcrabmset02,128,128,68,78,Sprites/Pixel/character/icon_character1/character_monsterhermitcrabmset02.png
character,icon_character1,character_npc13,128,128,44,99,Sprites/Pixel/character/icon_character1/character_npc13.png
character,icon_character1,character_hknightsdeadbirdfset01,128,128,84,118,Sprites/Pixel/character/icon_character1/character_hknightsdeadbirdfset01.png
character,icon_character1,character_playerf2set01,128,128,42,99,Sprites/Pixel/character/icon_character1/character_playerf2set01.png
character,icon_character1,character_npc43,128,128,46,98,Sprites/Pixel/character/icon_character1/character_npc43.png
character,icon_character1,character_scorchberserkermset01,128,128,88,80,Sprites/Pixel/character/icon_character1/character_scorchberserkermset01.png
character,icon_character1,character_luciaicewizzardfset02,128,128,74,100,Sprites/Pixel/character/icon_character1/character_luciaicewizzardfset02.png
character,icon_character1,character_monsterspidermset05,128,128,68,72,Sprites/Pixel/character/icon_character1/character_monsterspidermset05.png
character,icon_character1,character_tkfrog01,128,128,30,26,Sprites/Pixel/character/icon_character1/character_tkfrog01.png
character,icon_character1,character_hplayerlittlewitchfset02,128,128,73,82,Sprites/Pixel/character/icon_character1/character_hplayerlittlewitchfset02.png
character,icon_character1,character_hbanditthemaskmset02,128,128,63,84,Sprites/Pixel/character/icon_character1/character_hbanditthemaskmset02.png
character,icon_character1,character_hsolomonpremiermset01,128,128,66,100,Sprites/Pixel/character/icon_character1/character_hsolomonpremiermset01.png
character,icon_character1,character_hpapalswampwitchfset01,128,128,86,106,Sprites/Pixel/character/icon_character1/character_hpapalswampwitchfset01.png
character,icon_character1,character_hdarklighttranquillomset01,128,128,85,78,Sprites/Pixel/character/icon_character1/character_hdarklighttranquillomset01.png
character,icon_character1,character_htarottheworldfset02,128,128,64,80,Sprites/Pixel/character/icon_character1/character_htarottheworldfset02.png
character,icon_character1,character_banditberserkerf,128,128,94,88,Sprites/Pixel/character/icon_character1/character_banditberserkerf.png
character,icon_character1,character_solomonguardianmset02,128,128,94,112,Sprites/Pixel/character/icon_character1/character_solomonguardianmset02.png
character,icon_character1,character_birdincage,128,128,50,96,Sprites/Pixel/character/icon_character1/character_birdincage.png
character,icon_character1,character_npc67,128,128,42,86,Sprites/Pixel/character/icon_character1/character_npc67.png
character,icon_character1,character_luciabearmset01,128,128,100,102,Sprites/Pixel/character/icon_character1/character_luciabearmset01.png
character,icon_character1,character_hsolomonkinghashamset02,128,128,48,96,Sprites/Pixel/character/icon_character1/character_hsolomonkinghashamset02.png
character,icon_character1,character_npc61,128,128,46,78,Sprites/Pixel/character/icon_character1/character_npc61.png
character,icon_character1,character_crimsonassassinm3set01,128,128,72,88,Sprites/Pixel/character/icon_character1/character_crimsonassassinm3set01.png
character,icon_character1,character_solomonmafiabossmset01,128,128,54,88,Sprites/Pixel/character/icon_character1/character_solomonmafiabossmset01.png
character,icon_character1,character_npc24,128,128,84,88,Sprites/Pixel/character/icon_character1/character_npc24.png
character,icon_character1,character_yserindeknightslancermset01,128,128,80,90,Sprites/Pixel/character/icon_character1/character_yserindeknightslancermset01.png
character,icon_character1,character_monsterhermitcrabm4set01,128,128,78,90,Sprites/Pixel/character/icon_character1/character_monsterhermitcrabm4set01.png
character,icon_character1,character_papalicewizzardfset01,128,128,64,94,Sprites/Pixel/character/icon_character1/character_papalicewizzardfset01.png
character,icon_character1,character_papalguardianmset01,128,128,97,86,Sprites/Pixel/character/icon_character1/character_papalguardianmset01.png
character,icon_character1,character_terroristlancermset01,128,128,98,88,Sprites/Pixel/character/icon_character1/character_terroristlancermset01.png
character,icon_character1,character_darklightcrossbowmset01,128,128,64,86,Sprites/Pixel/character/icon_character1/character_darklightcrossbowmset01.png
character,icon_character1,character_iriaassassinfset01,128,128,58,90,Sprites/Pixel/character/icon_character1/character_iriaassassinfset01.png
character,icon_character1,character_militaryguardianmset01,128,128,94,93,Sprites/Pixel/character/icon_character1/character_militaryguardianmset01.png
character,icon_character1,character_banditlancermset01,128,128,90,82,Sprites/Pixel/character/icon_character1/character_banditlancermset01.png
character,icon_character1,character_npc31,128,128,44,84,Sprites/Pixel/character/icon_character1/character_npc31.png
character,icon_character1,character_npc54,128,128,42,96,Sprites/Pixel/character/icon_character1/character_npc54.png
character,icon_character1,character_darklightguardianmset02,128,128,94,93,Sprites/Pixel/character/icon_character1/character_darklightguardianmset02.png
character,icon_character1,character_npc21,128,128,42,99,Sprites/Pixel/character/icon_character1/character_npc21.png
character,icon_character1,character_tkcroflockw01,192,192,172,98,Sprites/Pixel/character/icon_character1/character_tkcroflockw01.png
character,icon_character1,character_policedarkwizzardfset01,128,128,74,90,Sprites/Pixel/character/icon_character1/character_policedarkwizzardfset01.png
